hyperparameter,pearson_r,pearson_p,spearman_r,spearman_p,abs_pearson,significant
num_conv_blocks,0.685153417601963,2.0818435253530392e-07,0.6706463249681894,4.6432669102722686e-07,0.685153417601963,True
weight_decay,-0.4638650816044786,0.0013299805767732998,-0.3758650633963776,0.010943804888076062,0.4638650816044786,True
batch_size,-0.4217750251284133,0.003905291371994812,-0.37146900948030587,0.011991849201409322,0.4217750251284133,True
conv_channels_base,0.39691892140896795,0.00694283861896187,0.38652049130168487,0.008723700875393649,0.39691892140896795,True
fc_hidden,0.1324133727084476,0.38589419661909247,0.15782017760842484,0.30047994247979204,0.1324133727084476,False
dropout,0.096859278920814,0.526760648625681,0.13848992082282058,0.36427017143218443,0.096859278920814,False
learning_rate,-0.050170576108073794,0.7434485825764381,0.19620503530464303,0.19644595167773116,0.050170576108073794,False
